model,checkpoint,architecture,degradation,severity,parameter_name,parameter_value,images,top1_accuracy,macro_f1,clean_top1_accuracy,clean_macro_f1,top1_drop,macro_f1_drop,relative_top1_retention,relative_f1_retention
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,gaussian_noise,1,sigma,0.03,5000,0.1552,0.1484301288133684,0.1616,0.1568416913311521,0.006399999999999989,0.008411562517783716,0.9603960396039605,0.9463690907284101
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,gaussian_noise,2,sigma,0.06,5000,0.1366,0.1293211010272007,0.1616,0.1568416913311521,0.024999999999999994,0.027520590303951403,0.8452970297029703,0.8245326859817839
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,gaussian_noise,3,sigma,0.12,5000,0.0824,0.0741825594366599,0.1616,0.1568416913311521,0.07919999999999999,0.08265913189449221,0.5099009900990099,0.47297729836407126
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,gaussian_noise,4,sigma,0.2,5000,0.0402,0.0346459657533379,0.1616,0.1568416913311521,0.1214,0.12219572557781422,0.24876237623762376,0.2208976800702
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,gaussian_blur,1,sigma,0.8,5000,0.1542,0.1485178445325063,0.1616,0.1568416913311521,0.00739999999999999,0.008323846798645812,0.9542079207920793,0.9469283535009131
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,gaussian_blur,2,sigma,1.5,5000,0.1218,0.114687406754987,0.1616,0.1568416913311521,0.03979999999999999,0.042154284576165116,0.7537128712871288,0.7312303621671519
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,gaussian_blur,3,sigma,2.5,5000,0.084,0.072711987103892,0.1616,0.1568416913311521,0.07759999999999999,0.08412970422726011,0.5198019801980198,0.4636011412958402
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,gaussian_blur,4,sigma,4.0,5000,0.0498,0.0388087975635172,0.1616,0.1568416913311521,0.1118,0.11803289376763491,0.30816831683168316,0.24743929521632838
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,motion_blur,1,kernel_size,3.0,5000,0.1552,0.1503349324774862,0.1616,0.1568416913311521,0.006399999999999989,0.006506758853665917,0.9603960396039605,0.9585138441288057
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,motion_blur,2,kernel_size,7.0,5000,0.1306,0.12371268380794,0.1616,0.1568416913311521,0.031,0.033129007523212115,0.8081683168316831,0.7887742267885631
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,motion_blur,3,kernel_size,11.0,5000,0.096,0.0854986848936625,0.1616,0.1568416913311521,0.06559999999999999,0.07134300643748961,0.5940594059405941,0.5451272819619272
