model,degradation,mean_top1,mean_macro_f1,mean_top1_drop,mean_macro_f1_drop
AlexNet random,gaussian_noise,0.1036,0.09664493875764173,0.057999999999999996,0.060196752573510384
AlexNet random,gaussian_blur,0.10245,0.09368150898872563,0.059149999999999994,0.06316018234242649
AlexNet random,motion_blur,0.1131,0.10455304554350164,0.048499999999999995,0.05228864578765047
AlexNet random,jpeg_compression,0.15955,0.15485066086905291,0.0020499999999999963,0.001991030462099183
AlexNet pretrained,gaussian_noise,0.30110000000000003,0.2963098236268043,0.21949999999999995,0.21546313822602006
AlexNet pretrained,gaussian_blur,0.2507,0.24917101457772398,0.2698999999999999,0.26260194727510044
AlexNet pretrained,motion_blur,0.24775,0.2463649858903847,0.2728499999999999,0.2654079759624397
AlexNet pretrained,jpeg_compression,0.48765000000000003,0.48055517874506737,0.032949999999999924,0.031217783107756997
ResNet18 random,gaussian_noise,0.1898,0.18266511061202187,0.18260000000000004,0.18349775401854032
ResNet18 random,gaussian_blur,0.17595,0.16848946681590282,0.19645,0.19767339781465937
ResNet18 random,motion_blur,0.1965,0.18786813707363434,0.1759,0.17829472755692782
ResNet18 random,jpeg_compression,0.36095,0.35423268636139726,0.011450000000000016,0.011930178269164926
ResNet18 pretrained,gaussian_noise,0.3926,0.394644049307862,0.3176,0.31465008114497484
ResNet18 pretrained,gaussian_blur,0.42845,0.43064312594627235,0.28175000000000006,0.2786510045065645
ResNet18 pretrained,motion_blur,0.3514,0.3602042551457345,0.35880000000000006,0.34908987530710234
ResNet18 pretrained,jpeg_compression,0.6508,0.6491546872620144,0.059400000000000064,0.06013944319082243
ResNet50 random,gaussian_noise,0.17295,0.16705366931206364,0.16925,0.17016269113860785
ResNet50 random,gaussian_blur,0.16954999999999998,0.1647203359897038,0.17265000000000003,0.1724960244609677
ResNet50 random,motion_blur,0.19255,0.18973543926610623,0.14965,0.14748092118456527
ResNet50 random,jpeg_compression,0.3298,0.32490477138704965,0.012400000000000008,0.012311589063621828
ResNet50 pretrained,gaussian_noise,0.46855,0.4765208535180454,0.30845,0.29983027019950415
ResNet50 pretrained,gaussian_blur,0.50305,0.5028027390635718,0.27395,0.2735483846539778
ResNet50 pretrained,motion_blur,0.45655,0.46087104084117336,0.32045,0.3154800828763762
ResNet50 pretrained,jpeg_compression,0.7079500000000001,0.7094338260210941,0.06905,0.06691729769645546
