model,checkpoint,architecture,degradation,severity,parameter_name,parameter_value,images,top1_accuracy,macro_f1
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,clean,0,none,0.0,5000,0.1616,0.15684169133115217
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,gaussian_noise,1,sigma,0.03,5000,0.1552,0.14843012881336845
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,gaussian_noise,2,sigma,0.06,5000,0.1366,0.12932110102720074
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,gaussian_noise,3,sigma,0.12,5000,0.0824,0.0741825594366599
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,gaussian_noise,4,sigma,0.2,5000,0.0402,0.03464596575333798
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,gaussian_blur,1,sigma,0.8,5000,0.1542,0.1485178445325063
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,gaussian_blur,2,sigma,1.5,5000,0.1218,0.114687406754987
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,gaussian_blur,3,sigma,2.5,5000,0.084,0.072711987103892
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,gaussian_blur,4,sigma,4.0,5000,0.0498,0.038808797563517204
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,motion_blur,1,kernel_size,3,5000,0.1552,0.1503349324774862
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,motion_blur,2,kernel_size,7,5000,0.1306,0.12371268380794004
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,motion_blur,3,kernel_size,11,5000,0.096,0.08549868489366254
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,motion_blur,4,kernel_size,17,5000,0.0706,0.05866588099491798
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,jpeg_compression,1,quality,80,5000,0.163,0.1582330075753941
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,jpeg_compression,2,quality,60,5000,0.16,0.1550316244897184
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,jpeg_compression,3,quality,40,5000,0.1604,0.1558594061311791
AlexNet random,inat_alexnet_500_npclasses_imagenet.pth,alexnet,jpeg_compression,4,quality,20,5000,0.1548,0.1502786052799201
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,clean,0,none,0.0,5000,0.5206,0.5117729618528244
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,gaussian_noise,1,sigma,0.03,5000,0.4918,0.4848293715836985
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,gaussian_noise,2,sigma,0.06,5000,0.4102,0.40490112886279317
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,gaussian_noise,3,sigma,0.12,5000,0.2276,0.22648656824540808
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,gaussian_noise,4,sigma,0.2,5000,0.0748,0.06902222581531778
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,gaussian_blur,1,sigma,0.8,5000,0.4426,0.44096711373556885
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,gaussian_blur,2,sigma,1.5,5000,0.3022,0.30592184307873754
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,gaussian_blur,3,sigma,2.5,5000,0.186,0.18732470523241637
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,gaussian_blur,4,sigma,4.0,5000,0.072,0.06247039626417332
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,motion_blur,1,kernel_size,3,5000,0.46,0.4550892909901415
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,motion_blur,2,kernel_size,7,5000,0.2858,0.2895482384841654
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,motion_blur,3,kernel_size,11,5000,0.1638,0.16516719701068464
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,motion_blur,4,kernel_size,17,5000,0.0814,0.07565521707654739
AlexNet pretrained,inat_alexnet_500_ptclasses_imagenet.pth,alexnet,jpeg_compression,1,quality,80,5000,0.5096,0.5002055686600537
