epoch,train_loss,train_acc,val_loss,val_acc,lr
1,6.1316250167846675,0.00585,5.923846195983887,0.0098,0.009990133642141357
2,5.812122761535645,0.0136,5.627063677978516,0.023,0.009960573506572389
3,5.586665912628174,0.0266,5.597718375396728,0.0286,0.009911436253643442
4,5.396569646453857,0.03715,5.382443179321289,0.0468,0.009842915805643154
5,5.219913570404053,0.0538,5.158126770782471,0.066,0.009755282581475767
6,5.069048578643799,0.0671,5.058309892272949,0.0702,0.009648882429441256
7,4.932761096191406,0.0816,4.953489939880371,0.0906,0.009524135262330098
8,4.803752510070801,0.09755,4.8669738159179685,0.1042,0.009381533400219317
9,4.677787459564209,0.11645,4.720201105499267,0.1298,0.009221639627510075
10,4.5661119377136234,0.132,4.7498871627807615,0.1242,0.009045084971874737
11,4.462362494659424,0.14905,4.777726511383056,0.111,0.008852566213878947
12,4.348533325195312,0.17265,4.549047940063477,0.1592,0.008644843137107058
13,4.251830207824707,0.18755,4.496303873825073,0.1616,0.008422735529643444
14,4.157252881622314,0.20115,4.48610581665039,0.17,0.00818711994874345
15,4.0758876091003415,0.2172,4.360774504089355,0.1888,0.007938926261462368
16,3.9774562210083007,0.2361,4.332071136093139,0.192,0.007679133974894984
17,3.887859913635254,0.2497,4.4144160781860355,0.1826,0.007408768370508577
18,3.8087019287109376,0.26685,4.225920966339111,0.215,0.0071288964578253644
19,3.7158045532226565,0.288,4.219783959197998,0.2184,0.0068406227634233915
20,3.64804359664917,0.3003,4.1985553333282475,0.2282,0.006545084971874738
21,3.5682196002960205,0.3165,4.178620906829834,0.2286,0.006243449435824274
22,3.4854527534484863,0.3364,4.164619426727295,0.2298,0.005936906572928625
23,3.409936151123047,0.35145,4.162795069503784,0.2398,0.005626666167821524
24,3.3333992679595945,0.3678,4.1096298789978025,0.2392,0.005313952597646569
25,3.272339306640625,0.38135,4.123969413757324,0.245,0.005000000000000002
26,3.1935016010284425,0.401,4.0494813621520995,0.2556,0.004686047402353435
27,3.128897501373291,0.41445,4.049523928833008,0.2568,0.004373333832178481
28,3.0578488567352293,0.43325,4.017905348587036,0.2666,0.0040630934270713785
29,2.991358821487427,0.45345,4.011454878234863,0.274,0.0037565505641757274
30,2.928678060913086,0.4713,4.016808734130859,0.2672,0.0034549150281252662
31,2.849425891113281,0.49115,3.9439607330322266,0.2888,0.0031593772365766134
32,2.7919252178192138,0.50475,3.931050158691406,0.2932,0.0028711035421746384
33,2.736996281814575,0.524,3.9266781585693358,0.3012,0.002591231629491424
34,2.6620480587005617,0.547,3.917841199493408,0.3048,0.0023208660251050166
35,2.6088999725341795,0.5649,3.877832441329956,0.3072,0.0020610737385376356
36,2.552531906509399,0.57855,3.871508644104004,0.3074,0.001812880051256552
37,2.4959764881134032,0.5973,3.8741142654418947,0.3196,0.001577264470356557
38,2.4486750968933104,0.6105,3.8473868957519533,0.3152,0.0013551568628929439
39,2.4020513671875,0.6252,3.8898983715057374,0.3196,0.0011474337861210548
40,2.353550653839111,0.64015,3.8222387908935547,0.326,0.0009549150281252636
41,2.3099239040374755,0.6588,3.8340952587127686,0.3284,0.000778360372489926
42,2.269649003982544,0.6766,3.839570484161377,0.3234,0.0006184665997806823
43,2.2355795387268067,0.6814,3.8200658672332763,0.333,0.0004758647376699034
44,2.2104268379211427,0.6959,3.8169202270507814,0.333,0.0003511175705587434
45,2.1819870262145997,0.70545,3.8190221031188964,0.3322,0.00024471741852423245
46,2.166910531234741,0.7101,3.798699755859375,0.334,0.00015708419435684522
47,2.1366997428894043,0.7179,3.8020202571868897,0.3344,8.856374635655642e-05
48,2.128265115737915,0.7245,3.8067613704681396,0.3342,3.942649342761119e-05
49,2.119299226760864,0.72665,3.802548503112793,0.334,9.866357858642208e-06
50,2.1062422367095945,0.7354,3.80561282119751,0.3346,0.0
